2025-12-05 21:40:16 | INFO     | === VES HRMS Server Starting ===
2025-12-05 21:40:16 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-05 21:40:39 | INFO     | === VES HRMS Server Starting ===
2025-12-05 21:40:39 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-05 21:42:54 | ERROR    | Audit log error: name 'get_user_agent' is not defined
2025-12-05 21:42:54 | WARNING  | HTTP 409: POST /api/login
2025-12-05 21:42:57 | ERROR    | Audit log error: name 'get_user_agent' is not defined
2025-12-05 21:42:57 | ERROR    | Audit log error: name 'get_user_agent' is not defined
2025-12-05 21:42:58 | WARNING  | HTTP 422: GET /api/hr/leaves
2025-12-05 21:42:58 | WARNING  | HTTP 422: GET /api/hr/leaves
2025-12-05 21:43:03 | WARNING  | HTTP 422: GET /api/hr/reports/attendance
2025-12-05 21:43:05 | WARNING  | HTTP 422: GET /api/hr/attendance
2025-12-05 21:43:06 | WARNING  | HTTP 422: GET /api/hr/employees
2025-12-05 21:43:10 | WARNING  | HTTP 422: GET /api/hr/reports/attendance
2025-12-05 21:43:11 | WARNING  | HTTP 422: GET /api/hr/payroll
2025-12-05 21:43:11 | WARNING  | HTTP 422: GET /api/hr/payroll/salary-config
2025-12-05 22:00:53 | INFO     | === VES HRMS Server Starting ===
2025-12-05 22:00:53 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-05 22:01:19 | INFO     | === VES HRMS Server Starting ===
2025-12-05 22:01:19 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-05 22:03:09 | INFO     | LOGIN_SUCCESS
2025-12-05 22:03:10 | WARNING  | HTTP 422: GET /api/employee/category
2025-12-05 22:03:10 | WARNING  | HTTP 422: GET /api/attendance/today
2025-12-05 22:03:10 | WARNING  | HTTP 422: GET /api/attendance/summary
2025-12-05 22:03:10 | WARNING  | HTTP 422: GET /api/leaves/balance
2025-12-05 22:03:10 | WARNING  | HTTP 422: GET /api/leaves
2025-12-05 22:03:10 | WARNING  | HTTP 422: GET /api/employee/category
2025-12-05 22:03:10 | WARNING  | HTTP 422: GET /api/attendance/today
2025-12-05 22:03:10 | WARNING  | HTTP 422: GET /api/attendance/summary
2025-12-05 22:03:10 | WARNING  | HTTP 422: GET /api/leaves/balance
2025-12-05 22:03:10 | WARNING  | HTTP 422: GET /api/leaves
2025-12-05 22:03:10 | WARNING  | HTTP 422: GET /api/meal-tokens/today
2025-12-05 22:03:11 | WARNING  | HTTP 422: GET /api/meal-tokens/today
2025-12-05 22:03:11 | WARNING  | HTTP 422: GET /api/employee/payslip
2025-12-05 22:03:11 | WARNING  | HTTP 422: GET /api/employee/payslip
2025-12-05 22:03:12 | WARNING  | HTTP 422: GET /api/employee/payslip-history
2025-12-05 22:03:12 | WARNING  | HTTP 422: GET /api/employee/payslip-history
2025-12-05 22:03:34 | WARNING  | HTTP 422: POST /api/attendance/check-in
2025-12-05 22:08:07 | WARNING  | HTTP 422: GET /api/employee/category
2025-12-05 22:08:07 | WARNING  | HTTP 422: GET /api/attendance/summary
2025-12-05 22:08:07 | WARNING  | HTTP 422: GET /api/attendance/today
2025-12-05 22:08:07 | WARNING  | HTTP 422: GET /api/leaves/balance
2025-12-05 22:08:07 | WARNING  | HTTP 422: GET /api/leaves
2025-12-05 22:08:07 | WARNING  | HTTP 422: GET /api/meal-tokens/today
2025-12-05 22:08:08 | WARNING  | HTTP 422: GET /api/employee/payslip
2025-12-05 22:08:08 | WARNING  | HTTP 422: GET /api/employee/payslip-history
2025-12-05 22:08:29 | WARNING  | HTTP 422: GET /api/employee/category
2025-12-05 22:08:29 | WARNING  | HTTP 422: GET /api/attendance/today
2025-12-05 22:08:29 | WARNING  | HTTP 422: GET /api/attendance/summary
2025-12-05 22:08:29 | WARNING  | HTTP 422: GET /api/leaves/balance
2025-12-05 22:08:29 | WARNING  | HTTP 422: GET /api/leaves
2025-12-05 22:08:30 | WARNING  | HTTP 422: GET /api/meal-tokens/today
2025-12-05 22:08:30 | WARNING  | HTTP 422: GET /api/employee/payslip
2025-12-05 22:08:31 | WARNING  | HTTP 422: GET /api/employee/payslip-history
2025-12-05 22:09:09 | INFO     | === VES HRMS Server Starting ===
2025-12-05 22:09:09 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-05 22:09:46 | INFO     | LOGIN_SUCCESS
2025-12-05 22:09:47 | WARNING  | HTTP 422: GET /api/attendance/today
